Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteComprenssiveStrength
0.980137,0,0,0.159744,0.875776,0.148546,0.751882,0.074176,0.673602
0.143836,0.35754,0.66017,0.425719,0.251553,0.595349,0.38284,0.074176,0.548897
0.349315,0,0,0.560703,0,0.258139,0.880582,0.005495,0.073128
0.114155,0,0.55972,0.496805,0.248447,0.555233,0.556949,0.074176,0.122711
0.251142,0.393155,0,0.652556,0,0.501163,0.39137,0.244505,0.465554
0.743151,0.132165,0,0.848243,0,0.380814,0,0.074176,0.437274
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.247253,0.958889
0.338356,0.464107,0,0.652556,0,0.513372,0.251129,0.016484,0.212034
0.481735,0.40345,0,0.041534,0.248447,0.578488,0.572002,0.074176,0.525601
0.223744,0.370061,0,0.560703,0,0.477907,0.532363,0.244505,0.50978
0.684475,0.263495,0,0.204473,0.354037,0.423837,0.647516,0.016484,0.644948
0.201598,0,0.625687,0.320287,0.307453,0.834593,0.523332,0.035714,0.254018
0.266895,0,0.62019,0.293131,0.350932,0.807267,0.504014,0.271978,0.546904
0.494977,0.591263,0,0.270767,0.444099,0.148546,0.718515,0.074176,0.662389
0.445662,0,0.587206,0.423323,0.295031,0.644767,0.400151,0.035714,0.431793
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.247253,1
0.526256,0.396494,0,0.848243,0,0.380814,0,1,0.482372
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.247253,0.958889
0.42968,0.538397,0,0.510383,0,0.573256,0.276719,0.016484,0.243304
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.016484,0.54653
0.252283,0,0.501749,0.299521,0.270186,0.601163,0.776719,0.005495,0.139654
0.965753,0,0,0.536741,0,0.94186,0.047667,0.739011,0.807026
0.330594,0,0.625187,0.171725,0.372671,0.830814,0.519067,0.035714,0.496948
0.098174,0,0.894553,0.640575,0.248447,0.06686,0.689915,0.074176,0.10228
0.155936,0.432666,0,0.510383,0,0.655814,0.326894,0.074176,0.291516
0.646119,0,0.67966,0.289137,0.621118,0.296512,0.436528,0.074176,0.663012
1,0,0,0.408946,0,0.94186,0.047667,0.016484,0.626386
0.389954,0.506121,0,0.510383,0,0.614535,0.301806,0.016484,0.217267
0.737443,0.295771,0,0.253195,0.512422,0.148546,0.735324,0.247253,0.783232
0,0.42571,0,0.560703,0,0.25,0.873056,0.244505,0.288152
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.074176,0.480005
0.251142,0,0.623688,0.297125,0.242236,0.826744,0.515554,0.271978,0.566712
0.350457,0.473845,0,0.510383,0,0.655814,0.326894,0.016484,0.185748
0.474886,0.397329,0,0.368211,0.310559,0.32936,0.526844,0.074176,0.535318
0.451598,0,0.598701,0.716454,0.307453,0.224419,0.335173,0.074176,0.267971
0.143836,0.35754,0.66017,0.425719,0.251553,0.595349,0.38284,0.035714,0.383207
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.247253,0.958889
0.163927,0.259878,0.7991,0.403355,0.301242,0.599419,0.38284,0.151099,0.581288
0.888128,0.072343,0.614693,0.704473,0.121118,0.235465,0.263422,0.005495,0.290021
0.625571,0,0,0.741214,0,0.588663,0.422479,0.151099,0.423197
0.150685,0.11714,0.818591,0,0.177019,0.749128,0.466884,0.151099,0.380217
0.8379,0.326099,0,0.127796,1,0.148546,0.618414,0.247253,0.85175
1,0,0,0.408946,0,0.94186,0.047667,0.074176,0.809518
0.673516,0,0,0.510383,0,0.696512,0.351982,0.074176,0.383082
0.563927,0,0,0.560703,0,0.741279,0.539388,0.005495,0.168681
0.4,0.27212,0.122439,0.310703,0.347826,0.757849,0.472905,0.151099,0.803413
0.526256,0.396494,0,0.848243,0,0.380814,0,0.739011,0.472655
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.074176,0.859225
0.405936,0.358653,0.501749,0.404153,0.295031,0.070058,0.529102,0.074176,0.629127
0.442922,0,0,0.560703,0,0.825581,0.429002,0.074176,0.240688
0.563927,0,0,0.560703,0,0.741279,0.539388,0.244505,0.477513
0.888128,0.072343,0.614693,0.704473,0.121118,0.235465,0.263422,0.074176,0.663012
0.125571,0.65665,0,0.560703,0,0.390698,0.469644,0.244505,0.511399
0.349315,0.275459,0.384808,0.536741,0.186335,0.343023,0.388861,0.074176,0.392052
0.086758,0.370061,0.514743,0.624601,0.217391,0.334302,0.398896,0.074176,0.424941
0.341096,0,0.591204,0.532748,0.180124,0.661047,0.410687,0.151099,0.431544
0.360731,0.281024,0.389805,0.392971,0.310559,0.392442,0.423984,0.074176,0.591005
0.068493,0.57596,0.804598,0.456869,0.155279,0.19186,0.356247,0.074176,0.385823
0.664384,0,0,0.560703,0,0.40407,0.41144,0.005495,0.209044
0.163242,0.139399,0.867066,0.34345,0.201863,0.596512,0.500502,0.035714,0.38221
0.105023,0,0.909545,0.472843,0.465838,0.110465,0.727546,0.074176,0.16432
0.6379,0,0,0.510383,0,0.882558,0.477421,0.074176,0.251152
0.3379,0,0.478261,0.559105,0.164596,0.429942,0.660311,0.151099,0.464806
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.074176,0.320045
0.1621,0.32276,0,0.560703,0,0.423837,0.659308,0.005495,0.057431
0.274886,0,0.483258,0.539137,0.139752,0.482849,0.693176,0.005495,0.115236
0.547945,0.105732,0,0.848243,0,0.380814,0.190667,1,0.670363
0.208904,0.807457,0,0.510383,0,0.573256,0.276719,0.074176,0.377476
0.579909,0.331107,0,0.305112,0.279503,0.755814,0.158053,0.074176,0.705992
0.291553,0,0.590705,0.586262,0.189441,0.660174,0.410436,0.151099,0.36153
0.146347,0,0.816092,0.436901,0.139752,0.748837,0.466884,0.151099,0.327644
0.3379,0,0.478261,0.523962,0.170807,0.453198,0.670346,0.074176,0.334994
0.111187,0,0.926037,0.358626,0.484472,0.795058,0.210738,0.074176,0.138657
0.426941,0.372009,0,0.583866,0.170807,0.357849,0.416708,0.074176,0.547153
0.202511,0,0.626687,0.321885,0.242236,0.840116,0.526844,0.035714,0.233337
0.266895,0,0.62019,0.293131,0.350932,0.807267,0.504014,0.074176,0.347452
0.255023,0.272955,0.122439,0.478434,0.214286,0.769768,0.480181,0.151099,0.603463
0.305936,0,0,0.576677,0,0.485465,0.730055,0.074176,0.200448
0.526256,0.396494,0,0.848243,0,0.380814,0,0.074176,0.382335
0.254566,0,0.870565,0.298722,0.363354,0.705232,0.446312,0.005495,0.165442
0.251142,0,0.623688,0.297125,0.242236,0.826744,0.515554,0.074176,0.450604
0.4,0.27212,0.122439,0.310703,0.347826,0.757849,0.472905,0.035714,0.565342
0.39726,0.32276,0.449775,0.464856,0.279503,0.200581,0.436528,0.074176,0.522611
0.014384,0.451864,0,0.652556,0,0.398837,0.639739,0.244505,0.335119
0.863014,0,0,0.560703,0,0.393023,0.296538,0.016484,0.401644
0.650685,0.055648,0.469765,0.28115,0.360248,0.398256,0.629704,0.005495,0.404136
0.563927,0,0,0.560703,0,0.741279,0.539388,0.074176,0.389685
0.255023,0,0.873063,0.263578,0.31677,0.734012,0.457602,0.271978,0.594867
0.296347,0,0.607696,0.416933,0.208075,0.742442,0.46287,0.035714,0.304472
0.117808,0.401224,0.561219,0.785144,0.313665,0.355233,0.160311,0.074176,0.176529
0.305936,0,0,0.576677,0,0.485465,0.730055,0.005495,0.051576
0.146119,0.723428,0,0.488818,0.403727,0.168605,0.584546,0.074176,0.443254
0.136986,0.57596,0.85957,0.752396,0.310559,0.061047,0.110386,0.074176,0.467298
0.737443,0.295771,0,0.253195,0.512422,0.148546,0.735324,0.074176,0.722063
0.143836,0,0.717641,0.335463,0,0.594767,0.769945,0.271978,0.443877
0.474886,0.397885,0,0.36901,0.310559,0.328488,0.526844,0.074176,0.535318
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,0.244505,0.58378
0.48242,0.40345,0,0.452875,0.248447,0.192442,0.57702,0.074176,0.480877
0.305936,0,0,0.56869,0,0.485465,0.730055,0.491758,0.27121
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.247253,0.779494
0.097717,0,0.667666,0.471246,0.34472,0.518895,0.54566,0.074176,0.135418
0.650685,0.055648,0.469765,0.28115,0.360248,0.398256,0.629704,0.151099,0.736639
0.075342,0,0.829585,0.464856,0.310559,0.465116,0.529353,0.074176,0.136539
0.095205,0.473567,0.662669,0.557508,0.263975,0.038081,0.530105,0.074176,0.343092
0.228311,0.030607,0.704648,0.672524,0.052795,0.409884,0.519318,0.151099,0.26062
0.48105,0,0,0.449681,0.248447,0.577616,0.572504,0.074176,0.283668
0.107306,0.386756,0.544728,0.56869,0.186335,0.264535,0.466633,0.074176,0.266102
0.980137,0,0,0.159744,0.875776,0.148546,0.751882,0.005495,0.485486
0.107306,0.327212,0.458271,0.488019,0.220497,0.443023,0.467386,0.074176,0.263984
0.680365,0,0,0.520767,0,0.651163,0.378826,0.016484,0.346456
0.408676,0,0,0.504792,0,0.880814,0.451581,0.074176,0.250529
0.737443,0.295771,0,0.253195,0.512422,0.148546,0.735324,0.016484,0.583904
0.257763,0.149694,0.609195,0.269968,0.298137,0.620058,0.468138,0.271978,0.676467
0.252283,0,0.501749,0.299521,0.270186,0.601163,0.776719,0.074176,0.365143
0.343607,0,0,0.510383,0,0.902907,0.477421,0.074176,0.217267
0.341096,0,0.591204,0.532748,0.198758,0.661047,0.410687,0.151099,0.427432
0.563927,0,0,0.560703,0,0.715116,0.53412,0.005495,0.158465
0.57968,0,0.707646,0.571086,0.341615,0.001163,0.462619,0.074176,0.48013
0.211644,0,0.502249,0.386581,0.232919,0.572674,0.772203,0.005495,0.122711
0.399772,0,0.486757,0.309904,0.36646,0.502616,0.706473,0.151099,0.606827
0.851598,0,0,0.848243,0,0.380814,0,0.491758,0.501931
0.522831,0,0,0.560703,0,0.651163,0.569493,0.244505,0.443254
0.511416,0.461881,0,0.416933,0.279503,0.235465,0.491721,0.074176,0.733774
0.070776,0.584307,0,0.592652,0.093168,0.430233,0.504265,0.074176,0.357543
0.3379,0,0.478261,0.559105,0.164596,0.429942,0.660311,0.035714,0.278186
0.130137,0.520312,0,0.432907,0.341615,0.549419,0.489212,0.074176,0.379096
0.18242,0.759043,0,0.510383,0,0.614535,0.301806,0.016484,0.125078
0.231735,0.849471,0,0.652556,0,0.472093,0.090316,0.244505,0.617043
0.085845,0.582638,0,0.560703,0,0.715116,0.53412,0.491758,0.521739
0.201598,0,0.625687,0.357828,0.307453,0.80814,0.514049,0.074176,0.280553
0.526256,0.396494,0,0.848243,0,0.380814,0,0.016484,0.3482
0.737443,0.295771,0,0.253195,0.512422,0.148546,0.735324,0.016484,0.583904
0.3379,0,0.478261,0.559105,0.164596,0.429942,0.660311,0.005495,0.076741
0.56621,0,0,0.648562,0,0.502907,0.454089,0.016484,0.196836
0.481507,0.446578,0,0.445687,0.298137,0.336046,0.415203,0.074176,0.624393
0.481735,0,0,0.448882,0.248447,0.578488,0.572002,0.074176,0.283668
0.623288,0.260991,0,0.038339,0.726708,0.148546,1,0.016484,0.540302
0.640411,0,0,0.510383,0,0.717442,0.364526,0.016484,0.270836
0.769406,0.492487,0,0.51278,0.34472,0.243895,0.28575,0.074176,0.793198
0.743151,0.132165,0,0.848243,0,0.380814,0,1,0.515386
0.56621,0,0,0.648562,0,0.502907,0.454089,0.074176,0.311573
0.280822,0,0,0.472843,0,0.906977,0.599599,0.016484,0.110128
0.8379,0.326099,0,0.127796,1,0.148546,0.618414,0.016484,0.654915
0.255023,0,0.873063,0.263578,0.31677,0.734012,0.457602,0.074176,0.47116
0.163927,0.259878,0.7991,0.403355,0.301242,0.599419,0.38284,0.074176,0.442008
0.163242,0.139399,0.867066,0.34345,0.201863,0.596512,0.500502,0.074176,0.446867
0.563927,0,0,0.560703,0,0.741279,0.539388,0.016484,0.083219
0.980137,0,0,0.159744,0.875776,0.148546,0.751882,0.247253,0.708484
0.506164,0.786867,0,0.495208,0.319876,0.411919,0.165329,0.151099,0.970101
0.182648,0.125765,0.609695,0.386581,0.254658,0.751163,0.468389,0.271978,0.577302
0.149315,0.361436,0.642679,0.428914,0.242236,0.596802,0.38284,0.271978,0.639467
0.579909,0,0.709645,0.56869,0.341615,0,0.461616,0.074176,0.48013
0.074658,0,0.828086,0.466454,0.310559,0.465116,0.529102,0.074176,0.136539
0.330594,0,0.625187,0.171725,0.372671,0.830814,0.519067,0.151099,0.722437
0.089726,0.589872,0,0.652556,0,0.496512,0.387607,0.074176,0.343341
0.502283,0,0,0.648562,0,0.502907,0.516809,0.074176,0.284664
0.305936,0.436839,0,0.560703,0,0.498837,0.389112,0.074176,0.380591
0.070776,0.556483,0,0.560703,0,0.367442,0.615153,0.244505,0.42681
0.077626,0.545353,0.489755,0.616613,0.186335,0.133721,0.47416,0.074176,0.306964
1,0,0,0.408946,0,0.94186,0.047667,0.739011,0.894979
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.005495,0.084714
0.300913,0,0.472764,0.607827,0.142857,0.424419,0.647767,0.271978,0.40152
0.399772,0,0.486757,0.309904,0.36646,0.502616,0.706473,0.074176,0.572443
0.474886,0,0,0.560703,0,0.613372,0.592072,0.326923,0.453096
0.255251,0.272955,0.122439,0.478434,0.208075,0.770349,0.480432,0.035714,0.193223
0.35,0.274903,0.384808,0.533546,0.201863,0.343023,0.389614,0.074176,0.392052
0.538584,0.525876,0,0.424121,0.295031,0.417733,0.405921,0.247253,0.815622
0.341096,0,0.591204,0.532748,0.198758,0.661047,0.410687,0.271978,0.521739
0.130137,0.41458,0.57971,0.42492,0.465838,0.44186,0.316106,0.074176,0.315809
0.254566,0,0.870565,0.261981,0.363354,0.730523,0.455344,0.005495,0.187368
0.863014,0,0,0.560703,0,0.393023,0.296538,0.074176,0.518375
0.972603,0,0,0.504792,0.214286,0.34593,0.316106,0.074176,0.678959
0.664384,0,0,0.560703,0,0.40407,0.41144,0.074176,0.464059
0.474886,0,0,0.560703,0,0.491279,0.642248,0.074176,0.318799
0.908676,0,0,0.624601,0,0.94186,0.047667,0.739011,0.658154
0.338356,0.464107,0,0.652556,0,0.513372,0.251129,0.005495,0.092189
0.120548,0,0.713643,0.571086,0.282609,0.221512,0.686653,0.074176,0.092313
0.664384,0,0,0.560703,0,0.405814,0.480682,0.005495,0.210166
0.252283,0,0.501749,0.299521,0.270186,0.601163,0.776719,0.151099,0.501059
0.125571,0.65665,0,0.560703,0,0.390698,0.469644,0.074176,0.390308
0.109589,0.659432,0,0.416933,0.372671,0.77907,0.203211,0.074176,0.437274
0.330594,0,0.625187,0.171725,0.372671,0.830814,0.519067,0.271978,0.79843
0.673516,0,0,0.504792,0,0.694767,0.351229,0.074176,0.457954
0.430137,0,0.48076,0.369808,0.291925,0.465698,0.67988,0.271978,0.581039
0.442237,0,0.477761,0.396965,0.276398,0.447965,0.665329,0.074176,0.468544
0.309361,0.660824,0,0.848243,0,0.380814,0,1,0.456833
0.535388,0,0,0.480032,0.10559,0.537209,0.558956,0.074176,0.529961
0.737443,0.295771,0,0.253195,0.512422,0.148546,0.735324,0.016484,0.583904
0.13242,0.523094,0.729635,0.648562,0.341615,0.081395,0.291019,0.074176,0.380092
0.424658,0.336672,0,0.440895,0.217391,0.311047,0.589564,0.074176,0.495827
0.426941,0,0,0.560703,0,0.326163,0.755896,0.016484,0.152859
0.586758,0.052866,0.704648,0.257188,0.338509,0.409884,0.519318,0.016484,0.416345
0.255251,0.272955,0.122439,0.478434,0.208075,0.770349,0.480432,0.271978,0.593497
0.406393,0.358932,0.49975,0.400958,0.279503,0.069767,0.529353,0.074176,0.629002
0.415525,0.041736,0.704648,0.456869,0.170807,0.119186,0.519318,0.016484,0.271583
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.667373
0.654338,0.270173,0,0.288339,0.375776,0.148546,0.832163,0.016484,0.405756
0.307991,0.255147,0.357321,0.999201,0.186335,0.150872,0.25439,0.074176,0.327644
0.252511,0,0.501749,0.300319,0.322981,0.589535,0.77722,0.005495,0.137038
0.474886,0,0,0.560703,0,0.613372,0.592072,0.016484,0.185748
0.330594,0,0.625187,0.171725,0.372671,0.830814,0.519067,0.005495,0.263984
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.25626
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.739011,0.602093
1,0,0,0.321086,0.07764,0.738372,0.20572,0.074176,0.741996
0.664384,0,0,0.560703,0,0.405814,0.480682,0.074176,0.464308
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.074176,0.621278
0.394977,0.500835,0.5997,0.321086,0.322981,0.084302,0.429002,0.074176,0.920767
0.305936,0.436839,0,0.560703,0,0.498837,0.389112,0.005495,0.140027
0.205479,0.801336,0,0.560703,0,0.374419,0.306322,0.244505,0.602965
0.394977,0,0,0.488818,0,0.834302,0.536879,0.016484,0.147876
0.343151,0,0.493753,0.195687,0.440994,0.543023,0.74009,0.151099,0.666501
0.252283,0,0.501749,0.299521,0.270186,0.601163,0.776719,0.035714,0.298742
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.016484,0.557743
0.510502,0.462994,0,0.416933,0.276398,0.234302,0.491721,0.074176,0.733898
0.257763,0.149694,0.609195,0.269968,0.298137,0.620058,0.468138,0.151099,0.643204
0.474886,0,0,0.560703,0,0.613372,0.592072,0.005495,0.1186
0.075342,0.292154,0.964518,0.592652,0.186335,0.476744,0.12293,0.074176,0.243927
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,1,0.6594
0.908676,0,0,0.624601,0,0.94186,0.047667,0.005495,0.295627
0.100457,0.639955,0,0.640575,0.093168,0.075581,0.697441,0.074176,0.382833
0.863014,0,0,0.560703,0,0.392442,0.318615,0.005495,0.274822
0.371005,0.308848,0.432284,0.588658,0.18323,0.09186,0.492725,0.074176,0.488476
0.093607,0.470228,0.714643,0.552716,0.248447,0.482558,0.12293,0.074176,0.341223
0.408676,0,0,0.51278,0,0.880814,0.451581,0.074176,0.250529
0.148402,0.209794,0.834583,0.337061,0.245342,0.599709,0.441796,0.035714,0.38084
0.291553,0,0.590705,0.586262,0.189441,0.660174,0.410436,0.271978,0.480005
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,0.244505,0.556871
0.3379,0,0.478261,0.559105,0.164596,0.429942,0.660311,0.074176,0.310078
0.474658,0.397329,0.555722,0.367412,0.686335,0.328198,0.143502,0.074176,0.447116
0.148402,0.209794,0.834583,0.337061,0.245342,0.599709,0.441796,0.151099,0.636975
0.116438,0.40345,0.564718,0.448882,0.248447,0.584302,0.238334,0.074176,0.289398
0.563927,0,0,0.560703,0,0.715116,0.531862,0.016484,0.196836
0.202511,0,0.626687,0.321885,0.242236,0.840116,0.526844,0.005495,0.158341
0.143836,0,0.717641,0.335463,0,0.594767,0.769945,0.074176,0.297371
0.3379,0,0.478261,0.523962,0.170807,0.453198,0.670346,0.035714,0.281425
0.395205,0,0.606697,0.301118,0.307453,0.734302,0.460361,0.271978,0.701134
0.399543,0.324986,0.454773,0.549521,0.217391,0.422965,0.179629,0.074176,0.513891
0.965753,0,0,0.536741,0,0.94186,0.047667,0.035714,0.573938
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.074176,0.899091
